narrative_number,complaint_id,product_type,company,date,human_classification,human_delegative_score,human_evaluative_score,human_confidence,human_justification,sonnet_classification,sonnet_confidence,sonnet_delegative_score,sonnet_evaluative_score,sonnet_primary_evidence,gpt4o_classification,gpt4o_confidence,gpt4o_delegative_score,gpt4o_evaluative_score,gpt4o_primary_evidence
3,7441427,credit_card,WELLS FARGO & COMPANY,2023-08-22 00:00:00,EVALUATIVE,0.0,0.3,MEDIUM,"Mostly factual with some evaluative content (""extremely frustrated"", expectations not met after the first round of fraud claims)",DELEGATIVE,0.75,0.75,0.45,I am extremely frustrated and feel like Im not being heard. No one at Wells Fargo wants to hear why this charge is fraudulent.,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on incorrect charges and poor service quality in handling the fraud claim.
6,4121639,checking_savings,Chime Financial Inc,2021-02-06 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.75,0.2,0.8,The complaint focuses on a functional problem—Chime placed a hold on the account preventing access despite the consumer providing requested documentation.,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the inability to access funds due to a hold on the account, despite providing requested information."
9,10717654,mortgage,Mr. Cooper Group Inc.,2024-11-06 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,"Factual, no evaluative or delegative language",EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on functional failures: documents not received through promised channels, missing payoff quotes, and incorrect credit reporting of COVID deferrals.",EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations, such as not receiving requested documents and incorrect reporting of deferred payments."
10,3594081,mortgage,WELLS FARGO & COMPANY,2020-04-06 00:00:00,UNCLASSIFIABLE,0.0,0.1,HIGH,"Almost entirely factual, only the ""deliberately refused"" language suggests evaluative trust",EVALUATIVE,0.82,0.25,0.82,"The complaint focuses on Wells Fargo's failure to pay the full tax bill as required ($4200 vs $720 paid), resulting in interest and penalties, which is framed as a performance failure in their escrow management duties.",EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on Wells Fargo Home Mortgage failing to pay the full tax amount initially, leading to additional interest and penalties."
12,6278914,mortgage,Selene Holdings LLC,2022-12-04 00:00:00,UNCLASSIFIABLE,0.0,0.2,HIGH,Almost entirely factual with small amounts of evaluative language referencing the legality of lender's behavior,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on a modification that increased payments from $2200 to $2600 (17% increase) when the purpose was to lower payments, and frustration that promised legal advocacy services failed to file documents or communicate with the servicer.",DELEGATIVE,0.8,0.8,0.4,"The complaint references 'predatory lending practices' and 'violation of good faith,' indicating a sense of betrayal and abuse of the relationship."
14,5019165,mortgage,Ocwen Financial Corporation,2021-12-17 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Almost entirely factual,EVALUATIVE,0.72,0.35,0.75,The complaint focuses on process failures: PHH sent acknowledgment notices but the loan counselor says they haven't received the information and shows incorrect records of refusal.,DELEGATIVE,0.8,0.8,0.4,The complaint describes the mortgage company as a 'predatory lending' institution and accuses them of victimizing the consumer's mother.
16,3967343,mortgage,Selene Holdings LLC,2020-11-20 00:00:00,EVALUATIVE,0.0,0.3,LOW,"Clearly frustrated with processes and lack of human responsiveness, but most of this is factual",DELEGATIVE,0.75,0.75,0.35,"The complaint centers on vulnerability ('my wife passed away and Covid I fell behind'), reliance on the institution's guidance through a difficult process, and fear of abandonment ('worried I will loose my home please help').",EVALUATIVE,0.7,0.4,0.7,"The complaint focuses on unmet performance expectations, such as not being able to reach a live agent and the denial of the loan modification due to document issues."
18,5270484,credit_card,U.S. BANCORP,2022-02-28 00:00:00,UNCLASSIFIABLE,0.0,0.1,HIGH,"Mostly factual, one reference to fairness",EVALUATIVE,0.75,0.2,0.8,"The complaint focuses on being 'charged twice on interest' with detailed accounting of how charges are applied to the balance, asking 'How is this right? Or fair?' in terms of billing accuracy.",EVALUATIVE,0.8,0.2,0.8,I AM CHARGED TWICE ON INTEREST ON MY ACCOUNT.
20,3097447,mortgage,"Fay Servicing, LLC",2018-12-11 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Entirely factual,EVALUATIVE,0.72,0.35,0.75,"The complaint focuses on disputing incorrect loan amounts ('I DID NOT BORROW THAT AMOUNT OF MONEY'), questioning how figures were calculated, and frustration with payment increases and failed modification processes.",EVALUATIVE,0.7,0.3,0.7,"The complaint focuses on incorrect charges and unmet performance expectations, such as the unexpected increase in loan amount and monthly payments."
26,6528614,mortgage,M&T BANK CORPORATION,2023-02-03 00:00:00,UNCLASSIFIABLE,0.0,0.2,MEDIUM,"Almost entirely factual, hard to discern any frustration even",EVALUATIVE,0.92,0.1,0.95,"The complaint systematically documents a functional failure with detailed records, payment histories, and call logs, focusing on the bank's inability to correctly apply a payment and provide an itemized accounting despite repeated escalation requests.",EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on a payment not being applied to the account as expected, with repeated attempts to resolve the issue through customer service."
27,5807155,checking_savings,WELLS FARGO & COMPANY,2022-07-25 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual only,EVALUATIVE,0.75,0.3,0.75,The complaint focuses on the functional problem of account closure without adequate explanation and the broken process of poor communication ('refuse to provide any additional information').,UNCLASSIFIABLE,0.6,0.4,0.3,The complaint describes account closures without clear emotional content or specific language indicating either evaluative or delegative trust failure.
29,3083996,mortgage,"Seterus, Inc.",2018-11-27 00:00:00,UNCLASSIFIABLE,0.0,0.0,,Factual,EVALUATIVE,0.82,0.25,0.85,"The complaint focuses on Seterus failing to follow its own repayment plan rules, sending contradictory billing statements, and proceeding with foreclosure despite the consumer making required payments.",EVALUATIVE,0.85,0.2,0.9,"Seterus, Inc. sent an intent to foreclose even though I made the required payments according to the repayment plan."
30,3635108,credit_card,BARCLAYS BANK DELAWARE,2020-05-03 00:00:00,UNCLASSIFIABLE,0.0,0.0,,Factual,EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on a disputed charge that wasn't resolved, poor customer service (being put on hold and disconnected), and frustration with broken processes across multiple contact attempts.",EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on incorrect charges and poor service quality, such as being put on hold and disconnected."
31,2904388,mortgage,"United Shore Financial Services, LLC",2018-05-12 00:00:00,EVALUATIVE,0.1,0.4,MEDIUM,"Mostly frustrated with poor process and service -- performance expectations not met. A little bit of moral language (""taking advantage"", ""grievance"").",DELEGATIVE,0.82,0.82,0.45,"The consumer explicitly states 'They are taking advantage of people that suffered through a natural disaster' and describes following 'all of their requests without fail' only to have their good credit 'literally destroyed,' reflecting betrayal of reliance during vulnerability.",DELEGATIVE,0.8,0.8,0.5,"The complaint reflects a sense of betrayal and abuse of the relationship, particularly in the statement 'They are taking advantage of people that suffered through a natural disaster.'"
35,2710085,credit_card,"CITIBANK, N.A.",2017-10-23 00:00:00,UNCLASSIFIABLE,0.0,0.0,HIGH,Factual,EVALUATIVE,0.72,0.25,0.75,The complaint focuses on procedural issues: Citibank required a specific form for SSA verification and would not accept an authorized user's request to close the account.,UNCLASSIFIABLE,0.6,0.3,0.4,"The complaint describes a procedural issue with account closure and a requirement for documentation, but lacks clear emotional content or trust language."
36,4005689,mortgage,FIFTH THIRD FINANCIAL CORPORATION,2020-12-11 00:00:00,EVALUATIVE,0.0,0.8,HIGH,"Unmet expectations and frustrations with poor service. Moral language refers to industry standards, not the relationship with the lender",DELEGATIVE,0.85,0.85,0.35,"The complaint centers on alleged fraudulent documentation and betrayal of trust as 'CURRENT CUSTOMERS,' with language like 'extremely disappointed that they would attempt to state we requested a withdraw' and 'fraudulent practices' suggesting moral violation rather than mere service failure.",DELEGATIVE,0.85,0.85,0.4,The complaint focuses on 'fraudulent documentation' and 'fraudulent practices' which suggests a betrayal of trust and abuse of the relationship.
