narrative_number,complaint_id,product_type,classification,confidence,delegative_score,evaluative_score,primary_evidence,secondary_signals
1,10352562,credit_card,UNCLASSIFIABLE,0.95,0.1,0.1,"The complaint is about identity theft and fraud, with no emotional content or relationship context.",none
2,13867292,checking_savings,UNCLASSIFIABLE,0.9,0.2,0.2,The complaint is primarily about identity theft with no clear emotional content or relationship context.,The consumer describes steps taken to resolve the issue without expressing frustration or betrayal.
3,7441427,credit_card,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on incorrect charges and poor service quality in handling the fraud claim.,The consumer expresses frustration and dissatisfaction with the process and outcome.
4,9983591,checking_savings,EVALUATIVE,0.85,0.3,0.85,"The complaint focuses on unmet performance expectations and poor service quality, such as the inability to access funds and lack of assistance from customer support.","The consumer expresses frustration with the process and the lack of immediate resolution, indicating dissatisfaction with service delivery."
5,1673075,checking_savings,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the bank allowing overdrafts and charging fees, which the consumer sees as a failure to perform as expected.",The consumer expresses frustration with the manager's rude response and the lack of fee refunds.
6,4121639,checking_savings,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the inability to access funds due to a hold on the account, despite providing requested information.",The language reflects frustration with the process and unmet expectations of service.
7,6941723,mortgage,DELEGATIVE,0.95,0.95,0.4,"The complaint reflects betrayal and abuse of the relationship, with language focusing on unethical, illegal, and discriminatory practices.",The emotional register includes moral outrage and a sense of personal violation due to the foreclosure and loss of the family home.
8,9710759,credit_card,UNCLASSIFIABLE,0.9,0.1,0.2,"The complaint is about identity theft and fraudulent accounts, with no clear emotional content or relationship context.","The focus is on factual correction under legal rights, not on trust or betrayal."
9,10717654,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations, such as not receiving requested documents and incorrect reporting of deferred payments.",The consumer expresses frustration with the process and the impact on their credit score.
10,3594081,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on Wells Fargo Home Mortgage failing to pay the full tax amount initially, leading to additional interest and penalties.",The consumer expresses frustration with the process and lack of response to their complaint.
11,2168233,mortgage,UNCLASSIFIABLE,0.6,0.3,0.3,The complaint is fragmented and lacks a clear narrative or emotional content.,"Mentions of identity theft and unauthorized cross-selling suggest potential issues, but they are not clearly articulated."
12,6278914,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint references 'predatory lending practices' and 'violation of good faith,' indicating a sense of betrayal and abuse of the relationship.","The consumer mentions a 'Notice of Demand' and legal violations, suggesting a breach of trust beyond mere service failure."
13,7872772,credit_card,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on unmet performance expectations such as not receiving confirmation of payment arrangements and inaccurate statements.,"The consumer expresses frustration with the process and lack of service quality, such as being transferred multiple times and not receiving promised documentation."
14,5019165,mortgage,DELEGATIVE,0.8,0.8,0.4,The complaint describes the mortgage company as a 'predatory lending' institution and accuses them of victimizing the consumer's mother.,The mention of 'predatory loan service' suggests a sense of betrayal and abuse of trust.
15,4669725,credit_card,EVALUATIVE,0.7,0.3,0.7,The complaint focuses on the credit card being locked due to a returned payment and the company's refusal to unlock it despite the consumer making additional payments.,The consumer mentions frustration with harsh rules and regulations and the lack of timely notification about the card being locked.
16,3967343,mortgage,EVALUATIVE,0.7,0.4,0.7,"The complaint focuses on unmet performance expectations, such as not being able to reach a live agent and the denial of the loan modification due to document issues.",The mention of increased payments without notification and the inability to make payments due to being in a modification process are additional evaluative signals.
17,11427908,credit_card,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on incorrect charges, broken processes, and unmet promises, such as the system not allowing payment and not waiving the late fee as promised.","The consumer expresses frustration with the service quality and processes, such as the lack of autopay and high late fees."
18,5270484,credit_card,EVALUATIVE,0.8,0.2,0.8,I AM CHARGED TWICE ON INTEREST ON MY ACCOUNT.,"The complaint focuses on incorrect charges and questions fairness, indicating unmet performance expectations."
19,3615966,mortgage,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on unmet performance expectations and poor service quality, as the consumer has made numerous requests for a loan payoff quote without resolution.","The consumer expresses frustration and dissatisfaction with the inability to obtain necessary documents, indicating a failure to perform as expected."
20,3097447,mortgage,EVALUATIVE,0.7,0.3,0.7,"The complaint focuses on incorrect charges and unmet performance expectations, such as the unexpected increase in loan amount and monthly payments.",The consumer expresses frustration with the process of loan modifications and repayment plans.
21,3100978,checking_savings,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the bank's failure to release funds within the required time periods and failure to provide the necessary notice, which are unmet performance expectations.","The complaint details specific regulatory violations and incorrect processing, indicating a focus on functional problems."
22,2236062,credit_card,UNCLASSIFIABLE,1.0,0.0,0.0,The complaint is an identity theft report where the consumer has no relationship with the institution.,None
23,3453212,mortgage,EVALUATIVE,0.7,0.3,0.7,"The complaint focuses on unmet performance expectations, such as not receiving a welcome packet or any correspondence, and being notified late about a mortgage payment.",The consumer expresses frustration with the loan process taking months and the appraiser's quick downgrade of the property.
24,11659701,checking_savings,EVALUATIVE,0.85,0.2,0.9,The complaint focuses on unmet performance expectations with the delayed deposit and frustration with customer service.,The consumer expresses frustration and dissatisfaction with the service quality and process.
25,7132764,credit_card,EVALUATIVE,0.85,0.2,0.9,The complaint focuses on unmet performance expectations regarding a welcome offer that was confirmed and then denied.,The consumer expresses frustration with poor service quality and lack of response from Amex.
26,6528614,mortgage,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on a payment not being applied to the account as expected, with repeated attempts to resolve the issue through customer service.",The consumer expresses frustration with the process and the lack of itemized answers to their requests.
27,5807155,checking_savings,UNCLASSIFIABLE,0.6,0.4,0.3,The complaint describes account closures without clear emotional content or specific language indicating either evaluative or delegative trust failure.,"The mention of 'relationship is no longer mutually beneficial' could suggest a delegative aspect, but it lacks explicit language of betrayal or violation."
28,14753581,credit_card,EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on Capital One's inability to understand the payment source and the suspension of the account, indicating a failure to perform as expected.","The consumer expresses frustration and describes the situation as harassment, which aligns with dissatisfaction at incompetence."
29,3083996,mortgage,EVALUATIVE,0.85,0.2,0.9,"Seterus, Inc. sent an intent to foreclose even though I made the required payments according to the repayment plan.","The complaint mentions refusal to comply with policy/rules set forth in its own plans, indicating unmet performance expectations."
30,3635108,credit_card,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on incorrect charges and poor service quality, such as being put on hold and disconnected.",The consumer expresses frustration with the process of resolving the charge and the lack of resolution from Barclays.
31,2904388,mortgage,DELEGATIVE,0.8,0.8,0.5,"The complaint reflects a sense of betrayal and abuse of the relationship, particularly in the statement 'They are taking advantage of people that suffered through a natural disaster.'","The consumer expresses moral outrage and a sense of personal violation, as seen in the language about 'misdeeds against the victims of natural disasters.'"
32,5860314,checking_savings,UNCLASSIFIABLE,0.9,0.1,0.1,The complaint is about identity theft with no emotional content or relationship with the institution.,none
33,5613912,credit_card,UNCLASSIFIABLE,0.8,0.2,0.3,The complaint is about identity theft with no clear relationship with the institution.,The consumer is focused on resolving the issue rather than expressing trust-related emotions.
34,3640736,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on unmet performance expectations regarding the forbearance terms offered by the mortgage company.,The consumer expresses frustration with the lack of relief and fairness in the offered solution.
35,2710085,credit_card,UNCLASSIFIABLE,0.6,0.3,0.4,"The complaint describes a procedural issue with account closure and a requirement for documentation, but lacks clear emotional content or trust language.","The mention of being a long-term customer could suggest a relationship aspect, but it is not developed into a clear sense of betrayal."
36,4005689,mortgage,DELEGATIVE,0.85,0.85,0.4,The complaint focuses on 'fraudulent documentation' and 'fraudulent practices' which suggests a betrayal of trust and abuse of the relationship.,"The consumer expresses 'extreme dissatisfaction' and 'significant concerns regarding fraudulent activity,' indicating a sense of personal violation."
37,7236336,checking_savings,UNCLASSIFIABLE,0.4,0.2,0.3,The complaint is unclear and lacks specific language indicating either evaluative or delegative trust failure.,none
38,7241493,checking_savings,UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes dissatisfaction with a service process (credit inquiry) and a sense of unfair treatment (discrimination).,"The mention of discrimination suggests a potential delegative aspect, but it's not dominant."
39,2723943,checking_savings,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on dissatisfaction with the bank's handling of unauthorized charges and the process of obtaining account statements.,"The consumer expresses frustration with the bank's service quality and processes, such as the fee for copies and the time taken to resolve the issue."
40,5583783,mortgage,DELEGATIVE,0.9,0.9,0.4,"The complaint reflects betrayal and abuse of trust, particularly when the consumer states, 'Because she gained my trust and I believed her.'",The use of terms like 'Gaslighting' and 'mistrust' indicates a sense of personal violation and betrayal.
41,4260816,checking_savings,UNCLASSIFIABLE,0.9,0.1,0.1,The complaint is about a scam text message from a bank with which the consumer has no account.,none
42,17900042,checking_savings,EVALUATIVE,0.85,0.2,0.9,"SoFi has refused provisional credit on every single dispute, stating only this type of dispute doesn't qualify for provisional credit with no further explanation.",The complaint focuses on unmet performance expectations and regulatory compliance issues.
43,1974801,mortgage,DELEGATIVE,0.85,0.9,0.4,"The complaint describes a sense of betrayal and abuse of the relationship, with language like 'Chase is XXXX me into foreclosure with this imminent threat to take my home via fraud.'","The consumer expresses moral outrage and a sense of personal violation, indicating a delegative trust failure."
44,15948787,credit_card,UNCLASSIFIABLE,0.6,0.3,0.4,The complaint focuses on incorrect credit report information and potential fraud without clear emotional content.,"The consumer mentions having screenshots, indicating a factual dispute rather than a trust issue."
45,5065894,mortgage,EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on unmet performance expectations, such as lack of record, no explanation, and unavailability of supervisors.",The complaint expresses frustration with broken processes and poor service quality.
46,4104902,mortgage,EVALUATIVE,0.9,0.3,0.9,Citizens One failed to properly update my account to show that I paid the escrow shortage in full and reflect the updated mortgage payment.,"The complaint focuses on incorrect charges, broken processes, and poor service quality, with repeated mentions of system errors and uncorrected account issues."
47,18397481,credit_card,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on unmet performance expectations regarding the baggage delay benefit claim, including incomplete settlement and prolonged processing time.",The consumer expresses frustration with the lack of timely resolution and adherence to the stated benefit criteria.
48,3122004,mortgage,UNCLASSIFIABLE,0.4,0.3,0.3,The complaint focuses on legal violations by an attorney rather than a direct financial institution relationship.,"The complaint mentions fraudulent documents and dual-tracking, but these are tied to legal misconduct rather than a clear trust mode."
49,1923767,checking_savings,DELEGATIVE,0.8,0.8,0.4,"The consumer expresses a sense of betrayal and abandonment, stating 'the Bank is taking a passive attitude towards my plight' and 'the Bank doesn't care.'","The complaint includes a warning to others about the risk of online banking, indicating a broader sense of betrayal."
50,3276212,mortgage,EVALUATIVE,0.85,0.3,0.8,"The complaint focuses on unmet performance expectations, such as the automated system not recognizing the loan number or SSN and the inconvenience caused by the transfer.","The consumer expresses frustration with the process and inconvenience, indicating dissatisfaction with service quality."
51,5233520,mortgage,DELEGATIVE,0.85,0.85,0.4,The complaint mentions a 'fiduciary relationship with the bank' and a sense of betrayal as the bank refused to accept a partial payment to save the property.,"The consumer expresses a sense of abandonment and violation of good faith, especially given the context of bankruptcy protection."
52,7487805,mortgage,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on incorrect charges and verification failures, specifically the unexpected $95.00 charge for escrow.",The consumer expresses frustration and suspicion about the calculation of principal and interest.
53,7622311,mortgage,UNCLASSIFIABLE,0.7,0.2,0.3,"The complaint is primarily a request for documentation needed for a Medicaid application, with no clear expression of unmet expectations or betrayal.","The complaint includes factual details about the reverse mortgage and a change in mortgage servicer, but lacks emotional content."
54,9163186,checking_savings,DELEGATIVE,0.85,0.85,0.3,"The consumer expresses a sense of betrayal and abandonment by stating that Chase decided to end the relationship without explanation, leaving them without access to their only funds.",The consumer's attempt to reason with the bank and the emphasis on their reliance on the account for basic needs suggest a breach of trust.
55,7493712,mortgage,EVALUATIVE,0.8,0.4,0.8,"Numerous phone calls, faxes, and emails with no one knowing what is going on, and escrow and insurance added without consent.",The complaint focuses on unmet performance expectations and poor service quality.
56,3988326,credit_card,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the unexpected closure of accounts and forfeiture of rewards, which are unmet performance expectations.",Mentions of increased credit limits and interest-free programs suggest expectations of continued service.
57,1781283,mortgage,EVALUATIVE,0.8,0.3,0.8,OCWEN has requested several documents and I 've sent them within days back to them. I 've submitted the same documents over and over again.,"The complaint focuses on unmet performance expectations and poor service quality, such as the representative's refusal to transfer to a supervisor."
58,18961474,checking_savings,EVALUATIVE,0.7,0.3,0.7,"They said, they will follow up with to whats going on with the fraud activity but they never did.","The complaint focuses on poor communication and failure to follow up, which are performance issues."
59,1413110,checking_savings,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as incorrect charges for low balances and failure to close the account and return the funds as instructed.","The consumer expresses frustration with poor service quality and broken processes, such as being put on hold and transferred around."
60,14376219,credit_card,EVALUATIVE,0.9,0.2,0.9,The complaint focuses on an incorrect balance transfer and the failure to credit the account as promised.,The consumer expresses frustration with the process and the inability of customer service to resolve the issue.
61,6662616,checking_savings,UNCLASSIFIABLE,0.3,0.4,0.4,"The complaint is a complex narrative involving multiple issues, including identity changes, financial losses to scams, and personal grievances, without a clear focus on a specific trust failure mode.","The complaint mixes personal grievances, financial scams, and requests for assistance, making it difficult to isolate a single trust failure mode."
62,4901463,credit_card,EVALUATIVE,0.8,0.2,0.8,Discover denied me a line of credit inappropriately.,The complaint focuses on unmet performance expectations and the impact on the consumer's credit score.
63,15605118,checking_savings,EVALUATIVE,0.8,0.2,0.8,The complaint focuses on the frustration with the transaction being declined despite it being a common transaction.,"The language indicates a failure in the service process, specifically the security measures not aligning with the consumer's expectations."
64,10586999,checking_savings,EVALUATIVE,0.85,0.3,0.9,The complaint focuses on unmet performance expectations with the ATM deposit process and the bank's failure to resolve the issue despite submitted proof.,The consumer expresses frustration with the bank's denial of the claim and the lack of resolution over 2.5 months.
65,4575713,checking_savings,UNCLASSIFIABLE,0.9,0.2,0.2,"The complaint is about receiving an unsolicited debit card and concerns about identity theft, with no clear emotional content related to trust failure.",The consumer expresses fear about identity theft but does not describe a relationship with the institution.
66,6289994,credit_card,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as the inability to file a dispute immediately and the rude customer service experience.","The consumer expresses frustration about the process and the handling of their dispute, indicating dissatisfaction with service quality."
67,3197294,checking_savings,EVALUATIVE,0.8,0.2,0.8,"The complaint focuses on incorrect charges and poor service quality, as the consumer was told the transaction was declined but the money was withdrawn anyway.",The consumer expresses frustration with the bank's failure to perform as expected by not properly handling the transaction dispute.
68,5903373,credit_card,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on incorrect handling of a refund and poor service quality, such as the agent filing a fraud report without permission and the supervisor denying previous agreements.","The consumer expresses frustration with the process and lack of resolution, indicating unmet performance expectations."
69,7163084,checking_savings,UNCLASSIFIABLE,0.4,0.5,0.5,"The complaint mixes issues of fraud, account closure, and lack of information without a clear focus on either unmet performance expectations or betrayal of trust.","The complaint includes elements of both evaluative and delegative trust failure, such as unmet expectations regarding account access and a sense of violation regarding withheld information."
70,5922211,credit_card,EVALUATIVE,0.8,0.3,0.8,The company did resolve the issue but then turned around and charged me again without an explanation.,"The consumer expresses frustration and a threat to involve a lawyer, indicating dissatisfaction with service quality."
71,3181099,credit_card,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the inability to pay the debt due to process failures and the impact on credit, indicating unmet performance expectations.","The consumer expresses frustration with the inability to resolve the issue despite attempts, which aligns with evaluative trust failure."
72,8239915,checking_savings,UNCLASSIFIABLE,0.6,0.5,0.5,The complaint is primarily about a factual dispute over unauthorized transactions and the bank's decision not to honor the claim.,"The complaint includes elements of both evaluative (failure to resolve the claim) and delegative (trust in the bank to protect against fraud) trust failures, but neither is dominant."
73,11673824,checking_savings,UNCLASSIFIABLE,0.6,0.2,0.3,The complaint lacks emotional content and specific language indicating either evaluative or delegative trust failure.,none
74,15130543,checking_savings,UNCLASSIFIABLE,0.6,0.2,0.3,The complaint is a request for detailed account information and lacks emotional content or clear trust failure language.,The language is factual and lacks any indication of unmet expectations or betrayal.
75,2263674,credit_card,DELEGATIVE,0.8,0.8,0.4,The complaint reflects a sense of abandonment and broken loyalty as the bank representative 'never did anything about it and she dropped contact.',"The consumer expresses frustration at being ignored after providing requested information, indicating a reliance on the bank's discretionary authority."
76,11619867,checking_savings,EVALUATIVE,0.7,0.3,0.7,My funds was never recovered and was giving to a merchant I didnt use or approve.,Mentions of a new card being sent out suggest a process issue.
77,15922607,credit_card,EVALUATIVE,0.85,0.3,0.9,The complaint focuses on incorrect charges and the failure of Bank of America to stop these charges despite assurances.,The consumer expresses frustration with the process and the repeated failure to resolve the issue.
78,7240922,mortgage,EVALUATIVE,0.7,0.3,0.7,The complaint focuses on the closure of complaints without proper resolution and the inability to view scanned documents.,"The consumer expresses frustration with the process and timing of complaint closures, indicating unmet performance expectations."
79,2266282,credit_card,UNCLASSIFIABLE,0.6,0.5,0.5,The complaint alleges discrimination but does not provide clear evidence of either evaluative or delegative trust failure.,"The focus on credit score and income suggests unmet performance expectations, but the claim of discrimination implies a potential breach of trust."
80,6502919,checking_savings,UNCLASSIFIABLE,0.6,0.3,0.4,"The complaint involves identity theft and a denied fraud claim, but lacks clear emotional content or trust language.",The mention of identity theft suggests a factual dispute rather than a trust relationship issue.
81,7006718,checking_savings,UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes issues of overdraft fees and loan denials with an accusation of racial bias.,"The mention of overdraft protection suggests evaluative trust failure, while the accusation of racial bias suggests delegative trust failure."
82,2905452,credit_card,UNCLASSIFIABLE,0.3,0.2,0.2,The complaint is a broad critique of societal and business practices rather than a specific financial complaint.,The language is more about societal issues and government intervention rather than a direct financial relationship or service failure.
83,3688454,checking_savings,EVALUATIVE,0.8,0.2,0.8,The complaint focuses on the inability to access the account and the lack of communication about the suspension.,"The consumer expresses frustration and a desire to close the account, indicating dissatisfaction with service quality."
84,6761328,mortgage,UNCLASSIFIABLE,0.6,0.6,0.6,The complaint mixes frustration with unmet performance expectations (denied loan modifications) and a sense of abandonment (attorney not stopping foreclosure).,The complaint reflects both evaluative elements (difficulty contacting the right person) and delegative elements (reliance on attorney and trustee).
85,13183598,mortgage,EVALUATIVE,0.85,0.3,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as being transferred multiple times and not receiving a resolution.","The consumer expresses frustration with the process and the lack of communication, indicating dissatisfaction with service delivery."
86,2737980,checking_savings,EVALUATIVE,0.9,0.2,0.9,The complaint focuses on USAA's ineffective process and poor communication regarding adding a joint owner to an account.,The consumer expresses frustration with the repeated failures to communicate the nature of the error and the need for multiple contacts to resolve the issue.
87,5069971,mortgage,EVALUATIVE,0.9,0.2,0.9,"The complaint focuses on incorrect escrow calculations and poor customer service, highlighting unmet performance expectations.","The consumer expresses frustration with the lack of communication and resolution, indicating dissatisfaction with service quality."
88,8963412,mortgage,EVALUATIVE,0.8,0.3,0.8,Carrington is now reporting to the Credit reporting agencies that I was 30 days late in XXXX and XX/XX/XXXX. This false report is greatly affecting the purchase of my new home.,"The complaint focuses on incorrect reporting and failure to correct the error despite multiple contacts, indicating unmet performance expectations."
89,1960782,mortgage,UNCLASSIFIABLE,0.6,0.2,0.3,"The complaint is primarily a query about regulatory compliance and competitive practices, not a personal grievance.",The language lacks emotional content or personal trust issues.
90,11655604,credit_card,UNCLASSIFIABLE,0.9,0.1,0.1,"The complaint is about a credit card fraudulently opened under the consumer's name, with no emotional content or relationship context.",none
91,9550592,credit_card,UNCLASSIFIABLE,0.6,0.5,0.5,The complaint mixes elements of both evaluative and delegative trust failures without a dominant mode.,"The consumer mentions feeling discriminated and retaliated against, which suggests a delegative aspect, but the focus on payment terms and financial hardship aligns with evaluative concerns."
92,16720212,credit_card,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as the failure to update available credit as promised.",The consumer expresses frustration and dissatisfaction with the incorrect information and process failures.
93,15815903,credit_card,UNCLASSIFIABLE,0.8,0.2,0.2,"The complaint is about a potential scam and identity theft, not a direct issue with a financial institution.",The consumer expresses concern about identity theft rather than a failure of service or betrayal.
94,16479028,credit_card,UNCLASSIFIABLE,0.8,0.1,0.2,The complaint is a factual dispute about a credit report item with no emotional content.,The language is formal and lacks any emotional register or trust-related language.
95,1654861,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on unmet performance expectations and poor service quality, such as the failure to review documents within 24 hours and the inability to close the short sale.","The repeated mentions of incompetency and broken processes, such as the negotiator being unavailable and the lack of communication, reinforce the evaluative nature."
96,5745591,checking_savings,EVALUATIVE,0.7,0.3,0.7,The complaint focuses on unmet performance expectations regarding online access and poor service quality with no help or long holds.,The mention of health complications adds urgency but does not shift the focus from service failure.
97,2792843,credit_card,EVALUATIVE,0.8,0.2,0.8,The complaint focuses on unmet performance expectations regarding the refund process.,Repeated attempts to contact the company for a refund indicate frustration with service quality.
98,8095587,mortgage,DELEGATIVE,0.9,0.9,0.4,"The complaint reflects betrayal and abuse of the relationship, with language like 'SLS stole those funds' and 'attempt to steal my home.'","The consumer expresses moral outrage and a sense of personal violation, indicating a delegative trust failure."
