complaint_id,product_group,classification,confidence,delegative_score,evaluative_score,primary_evidence,secondary_signals
4075410,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on 'terrible service,' 'unclear process,' and 'unprofessional mistake,' indicating unmet performance expectations.","The consumer expresses frustration with the process and the lack of response, which aligns with evaluative trust failure."
9311936,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the failure of the mortgage servicer to process the payment and the inability to contact them, leading to potential credit issues.",The consumer expresses frustration with the process and the lack of communication from the servicer.
7072668,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as the mortgage company failing to notify the consumer about payment issues.",The consumer expresses frustration at the incompetence of both the mortgage company and the insurance company in managing payments and notifications.
2823126,mortgage,DELEGATIVE,0.8,0.8,0.4,"The consumer expresses a sense of betrayal and desperation, stating 'My only possession is this house I been paid for over 14 years and they want it either way.'",The mention of 'lying' and reliance on the Government to 'stop this madness' suggests a deep sense of betrayal and abuse of trust.
5839138,mortgage,DELEGATIVE,0.8,0.8,0.5,"The complaint reflects a sense of betrayal and abuse of the relationship, particularly in the statement 'They don't care about who they XXXX over and what position they put borrowers in.'",The mention of 'mislead into falsely paying off a mortgage' and 'violation of the freedom of information act' suggests a breach of trust and good faith.
1578829,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on incorrect loan number provided, unmet promises, and poor service quality.",The consumer expresses frustration and dissatisfaction with repeated failures to resolve the issue.
3783870,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations and poor service quality, such as not switching to the FHA plan as promised.",The consumer expresses frustration with receiving different misleading information from multiple representatives.
3894493,mortgage,EVALUATIVE,0.8,0.2,0.8,After numerous attempts to contact Ms XXXX to see if paperwork was submitted properly I received no call back or any written correspondence.,The complaint focuses on unmet performance expectations and poor service quality.
4190951,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and abuse of the relationship, with language like 'this loan was a fraud' and 'their intention is not to assist just take my home.'","The consumer expresses moral outrage and a sense of personal violation, indicating a delegative trust failure."
12073209,mortgage,EVALUATIVE,0.85,0.2,0.9,"Please help me get this fixed, as customer service does not know what they are doing, you can tell when you speak to them, they lack the knowledge to do the job correctly.","The complaint focuses on incorrect charges, broken processes, and poor service quality."
1650340,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on incorrect information and unmet promises regarding the refinance process.,The consumer expresses frustration with poor service quality and broken processes.
2441024,mortgage,EVALUATIVE,0.85,0.3,0.9,"The complaint focuses on incorrect charges and poor service quality, with the consumer stating that payments were submitted timely but are still shown as past due.",The consumer expresses frustration with the process and mentions past experiences of being held responsible for the bank's actions.
3134114,mortgage,EVALUATIVE,0.7,0.3,0.7,The complaint focuses on the company's lack of response and perceived delay in processing the mortgage reduction.,"The use of 'elusive' suggests some frustration with service quality, but does not strongly indicate betrayal."
6375919,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on the mortgage company's failure to release funds for repairs despite documentation and promises, reflecting unmet performance expectations.",The consumer expresses frustration with inconsistent information from agents and the inability to proceed with repairs.
14525613,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations, such as delays in the loan process and failure to close the loan on time.",The consumer expresses frustration about the process slowing down after an employee change and the company's failure to meet the agreed timeline.
6767643,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and violation of privacy, particularly with the repeated intrusions and the handling of the mortgage transfer and payments.","The consumer expresses moral outrage at the aggressive and intrusive actions of SPS, indicating a breach of trust in their fiduciary role."
15349565,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on incorrect charges and poor service quality, as the consumer's account was falsely reported as delinquent.",The consumer expresses frustration at the incompetence and failure to provide information.
12133395,mortgage,DELEGATIVE,0.9,0.9,0.4,"I grew concern about his integrity and even after expressing it to him, XXXX XXXX repeatedly lied to me to retain my business.","The complaint mentions being blocked from contact and feeling misled, indicating a sense of betrayal."
2955745,mortgage,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on incorrect charges and unmet promises, such as escrow payments added without reason and an insurance refund not processed.","The consumer expresses frustration with repeated calls and unresolved issues, indicating dissatisfaction with service quality."
4374587,mortgage,EVALUATIVE,0.85,0.2,0.9,"The complaint focuses on unmet performance expectations, specifically the failure to return the escrow balance within the expected timeframe.","The consumer expresses frustration with poor service quality, such as long hold times and lack of response to online messages."
2131823,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on unmet performance expectations and poor service quality, as the consumer is frustrated with the process and the reasons given for not modifying the loan.",The mention of frustration and the repeated attempts to modify the loan without success indicate dissatisfaction with service delivery.
2156302,mortgage,DELEGATIVE,0.85,0.9,0.6,"These companies have been taking my $ for 16 months and not reporting them, worse yet they are not applying them to my loan.","The complaint expresses a sense of betrayal and personal violation, especially with phrases like 'They are stealing my payments' and 'they have taken my life 's investment from me.'"
7404085,mortgage,EVALUATIVE,0.85,0.4,0.85,"The complaint focuses on incorrect information provided by the bank representative and the failure of the application process, leading to frustration and extra costs.",The consumer expresses frustration with the process and the need to pay extra due to the bank's incompetence.
11068425,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on the mortgage company's failure to pay the insurance policy from the escrow account, resulting in the loss of the condo insurance policy.",The consumer expresses frustration with the mortgage company's negligence and compares it to the previous company's reliable service.
8303248,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as Wells Fargo claiming not to receive insurance details and making it difficult to provide proof of insurance.","The consumer expresses frustration with poor service quality and broken processes, such as the inability to contact the insurance department."
2294740,mortgage,EVALUATIVE,0.8,0.4,0.8,"The complaint focuses on unmet performance expectations, such as the inability to reach a consistent representative and repeated requests for the same documents.","The complaint describes a 'vicious cycle' of poor service and communication failures, indicating frustration with incompetence."
12682915,mortgage,DELEGATIVE,0.85,0.85,0.4,"The consumer expresses a sense of betrayal and violation of good faith, as they were not informed about the foreclosure process despite having ensured correct contact information.","The complaint highlights a lack of communication and failure to provide necessary notices, which suggests a breach of fiduciary duty."
10660830,mortgage,DELEGATIVE,0.8,0.8,0.4,They knew that we were going through hardship and I tried to make payments.,The complaint reflects a sense of betrayal and abandonment during a time of vulnerability.
1937673,mortgage,UNCLASSIFIABLE,0.6,0.5,0.5,"The complaint mixes elements of both evaluative and delegative trust failures, such as unmet expectations regarding payment handling and a sense of personal violation due to perceived discrimination.","The mention of discrimination and laughter suggests a personal violation, while the issue of payment handling suggests unmet performance expectations."
2643480,mortgage,EVALUATIVE,0.8,0.3,0.8,I have been given the run around.,The complaint focuses on unmet performance expectations and failure to provide requested documents.
9319115,mortgage,EVALUATIVE,0.8,0.3,0.8,The complaint focuses on the company's failure to properly handle the loss mitigation application and payments.,The mention of 'moving the ball' and 'losing my application and payments' indicates frustration with process failures.
1804051,mortgage,EVALUATIVE,0.85,0.4,0.9,Pennymac did not apply the payment I mailed in and their representatives gave me false information regarding my loan account.,The complaint focuses on unmet performance expectations and incorrect processing of payments.
2336406,mortgage,DELEGATIVE,0.8,0.8,0.4,"The consumer describes Wells Fargo as a 'predatory lender' and accuses them of trying to 'capitalize on their customer's hardship,' indicating a sense of betrayal.","The complaint mentions a personal hardship and reliance on the bank's discretion for a loan modification, which was denied."
5653038,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint focuses on Mr. Cooper misapplying funds and not catching their mistake, leading to foreclosure.",The complaint includes documentation and receipts as evidence of the mishandling.
7290181,mortgage,EVALUATIVE,0.7,0.4,0.7,I was told that at the end of the 6 months to call my mortgage lender and the balance owed would be added to the back of the loan. Apparently this never happened.,The complaint focuses on unmet promises and poor service quality regarding the handling of the mortgage deferral.
5281671,mortgage,EVALUATIVE,0.8,0.3,0.8,"The complaint details numerous attempts to engage the reverse mortgage company in the short sale process, highlighting failures in communication and process management.",The complaint focuses on procedural failures and unmet expectations regarding the handling of the short sale process.
2752182,mortgage,DELEGATIVE,0.8,0.8,0.4,"The complaint reflects a sense of betrayal and violation of good faith, as the consumer believed they were entering a government assistance program but were not informed it was a loan.","The consumer expresses moral outrage and a sense of personal violation, feeling misled by Bank of America and the program's representatives."
4661195,mortgage,EVALUATIVE,0.85,0.2,0.9,PHH Mortgage Services failed to make the payment.,The complaint focuses on unmet performance expectations and incorrect charges.
3086033,mortgage,EVALUATIVE,0.85,0.2,0.9,My problem and dissatisfaction is that I believe that this company and their agent should have checked if I qualify for the refinance I requested before ordering for such an exorbitant appraisal.,The complaint focuses on unmet performance expectations and poor service quality.
