narrative_number,complaint_id,product_group,classification,confidence,delegative_score,evaluative_score,primary_evidence,secondary_signals,conf_bin
1,10352562,credit_card,UNCLASSIFIABLE,0.95,0.0,0.0,"This is a formal legal/procedural request citing FCRA statute 605B to block fraudulent accounts resulting from identity theft, with no relationship between the consumer and the institution.","The complaint is entirely procedural, includes FTC case number, and involves accounts the consumer explicitly states they did not open and do not recognize.",high
2,13867292,checking_savings,UNCLASSIFIABLE,0.95,0.0,0.0,The complaint is a factual report of identity theft where the consumer's personal information was used to fraudulently open an account without their knowledge or consent.,The consumer had no pre-existing relationship with Chase and is simply reporting a crime; no trust relationship existed to be violated.,high
3,7441427,credit_card,DELEGATIVE,0.75,0.75,0.45,I am extremely frustrated and feel like Im not being heard. No one at Wells Fargo wants to hear why this charge is fraudulent.,"The consumer emphasizes their long-standing relationship (9-10 years) and exclusive use of the card, suggesting reliance on Wells Fargo to protect them, and expresses feeling dismissed rather than just dissatisfied with process.",medium
4,9983591,checking_savings,EVALUATIVE,0.75,0.25,0.75,"The complaint focuses on 'unjust and unauthorized hold,' inability to get information about the hold, and frustration that representatives 'could not provide any information' or 'assist in unlocking my account.'","Language like 'unacceptable' and emphasis on procedural failures (waiting several business days, no explanation, no recourse) reinforces service delivery failure rather than relationship betrayal.",medium
5,1673075,checking_savings,EVALUATIVE,0.75,0.3,0.8,"The complaint focuses on not being informed about opt-in requirements, the bank allowing overdrafts to generate fees, and the manager's dismissive response about tracking the account better.","The phrase 'I was naïve' suggests some self-blame rather than betrayal, and the frustration centers on fee practices and poor service quality rather than relationship violation.",medium
6,4121639,checking_savings,EVALUATIVE,0.75,0.2,0.8,The complaint focuses on a functional problem—Chime placed a hold on the account preventing access despite the consumer providing requested documentation.,"The straightforward, factual reporting style and focus on process failure (hold not lifted after compliance) supports evaluative framing.",medium
7,6941723,mortgage,DELEGATIVE,0.95,0.95,0.15,"The complaint centers on betrayal language: 'I repeatedly pleaded for Wells Fargo to offer me a loan modification... Wells Fargo refused to help me, a 21-plus years XXXX XXXX and PERMANENTLY XXXX MILITARY VETERAN' and characterizes the relationship violation as 'unethical, illegal, and discriminatory mortgage practices' that caused loss of the family home.","Strong moral outrage language ('deplorable actions,' 'extremely insulting and insensitive'), emphasis on vulnerability (veteran status, proactive outreach for help), and framing the $1700 offer as adding insult to injury rather than addressing a service failure.",high
8,9710759,credit_card,UNCLASSIFIABLE,0.9,0.0,0.1,This is an identity theft report stating 'fraudulent accounts...which I do not recognize...result of identity theft and fraud' with no indication of a prior relationship with the institution.,The language is formal/legalistic (citing FCRA/FDCPA) and focuses purely on demanding removal of fraudulent items without emotional content or relationship context.,high
9,10717654,mortgage,EVALUATIVE,0.82,0.15,0.85,"The complaint focuses on functional failures: documents not received through promised channels, missing payoff quotes, and incorrect credit reporting of COVID deferrals.","Language is matter-of-fact and procedural, listing specific service failures without emotional language suggesting betrayal or relationship violation.",medium
10,3594081,mortgage,EVALUATIVE,0.82,0.25,0.82,"The complaint focuses on Wells Fargo's failure to pay the full tax bill as required ($4200 vs $720 paid), resulting in interest and penalties, which is framed as a performance failure in their escrow management duties.","The phrase 'deliberately refused' suggests some moral judgment, but the overall framing remains about functional failures (underpayment, resulting penalties) rather than relationship betrayal.",medium
